STT,ID,Ho,Ten,Gioi tinh,Ngay sinh,CCCD
1,22000001,Nguyen ,Ngoc Cuong,Nam,11/30/2004,672884137
2,22000002,Pham,Van Duy,Nam,3/30/2004,198503231
3,22000003,Hoang,Thanh Binh,Nam,9/17/2004,482376999
4,22000004,Tran ,Van Binh,Nam,3/30/2004,117945552
5,22000005,Luong,Ngoc Binh,Nam,7/5/2004,185992651
6,22000006,Nguyen ,Van Dat,Nam,8/1/2004,510206327
7,22000007,Phan ,Thanh Dat,Nam,5/3/2004,973671246
8,22000008,Tran ,Thanh Dat,Nam,7/20/2004,269877610
9,22000009,Do ,Van Son,Nam,2/5/2004,778239375
10,22000010,Nguyen,Gia Bao,Nam,5/24/2004,674851484
11,22000011,Truong ,Van Khai,Nam,7/15/2004,584463616
12,22000012,Nguyen,Duc Toan,Nam,9/11/2004,24720345
13,22000013,Phan ,Nhat Duy,Nam,11/22/2004,320681374
14,22000014,Do ,Thanh Dat,Nam,8/27/2004,857213197
15,22000015,Tran,Van Long,Nam,6/12/2004,228146847
16,22000016,Nguyen ,Thi Yen Nhi,Nu,8/20/2004,597646537
17,22000017,Le,Thi Bich Tram,Nu,2/23/2004,751955907
18,22000018,Hoang,Thanh Thao,Nu,10/16/2004,833611665
19,22000019,Le ,Xuan Son,Nam,8/27/2004,17038589
20,22000020,Nguyen,Van Dung,Nam,11/22/2004,990851189
21,22000021,Tran,Hoai Nam,Nam,3/30/2004,624491659
22,22000022,Ho ,Ngoc  Bich,Nu,9/11/2004,997672609
23,22000023,Cao ,Thi Linh Chi,Nu,2/12/2004,150581377
24,22000024,Do,Tuan Anh,Nam,1/3/2004,554330707
25,22000025,Bui ,Tuan Tai,Nam,6/29/2004,113368116
26,22000026,Do,Thanh Dat,Nam,2/5/2004,606285271
27,22000027,Hoang,Thi Ha Linh,Nu,6/18/2004,928154156
28,22000028,Le ,Manh Dat,Nam,7/19/2004,780405829
29,22000029,Nguyen,Tuan Khang,Nam,11/10/2004,731438974
30,22000030,Tran,Diem My,Nu,8/25/2004,67967698
31,22000031,Ho ,Thi Anh Nhi,Nu,3/17/2004,592780412
32,22000032,Cao ,Hoang Nam,Nam,12/5/2004,151955636
33,22000033,Do,Hoang Dung,Nam,2/4/2004,546956579
34,22000034,Bui ,Truong Linh,Nam,5/3/2004,689791175
35,22000035,Do,Hoang Duy,Nam,1/27/2004,479605798
36,22000036,Vo,Van Thuong,Nam,11/10/2004,117636895
37,22000037,Bui ,Thi Thuy Chi,Nu,5/20/2004,23355174
38,22000038,Nguyen,Van Nam,Nam,3/19/2004,426667449
39,22000039,Tran ,Ngoc Dang,Nam,8/15/2004,728216977
40,22000040,Pham,Trung Dung,Nam,7/12/2004,939027844
41,22000041,Dang,Thi Thu Huyen,Nu,3/15/2004,310676606
42,22000042,Nguyen,Tan Dong,Nam,6/10/2004,877448812
43,22000043,Tran,Trung Son,Nam,8/10/2004,69701174
44,22000044,Nguyen,Thi To Nga,Nu,6/13/2004,465996905
45,22000045,Hoang,Duc Long,Nam,3/17/2004,148070238
46,22000046,Nguyen,Truong Giang,Nam,11/25/2004,40520033
