STT,ID,Ho,Ten,Gioi tinh,Ngay sinh,CCCD
1,22120084,Pham,Hoang Giang,Nam,12/12/2004,11223344
2,22120085,Vu,The Tuan Dat,Nam,5/9/2004,22334455
3,22120086,Nguyen,Cong Giap,Nam,11/12/2004,33445566
4,22120087,Nguyen,Tran Gia,Nam,10/12/2004,44556677
5,22120088,Ngo,Phuong Dong,Nam,4/9/2004,13245768
6,22120089,Nguyen,Minh Duy,Nam,10/10/2004,90091133
7,22120090,Do,Duc Anh,Nam,1/29/2004,15992391
8,22120091,Bui ,Ngoc  Bich,Nu,10/17/2004,74357786
9,22120092,Luu ,Thi Linh Chi,Nu,9/18/2004,39596447
10,22120093,Hoang,Tuan Anh,Nam,11/9/2004,44744449
11,22120094,Phan ,Tuan Tai,Nam,11/6/2004,41332717
12,22120095,Do,Thanh Dat,Nam,9/1/2004,93794686
13,22120096,Nguyen ,Thi Ha Linh,Nu,4/13/2004,98193889
14,22120097,Tran,Manh Dat,Nam,12/24/2004,78103906
15,22120098,Hoang,Tuan Khang,Nam,6/11/2004,99363240
16,22120099,Truong,Diem My,Nu,9/24/2004,99659501
17,22120100,Nguyen ,Thi Anh Nhi,Nu,12/12/2004,8846476
18,22120101,Pham,Truong Son,Nam,3/23/2004,75476989
19,22120102,Hoang,Hong Tham,Nu,1/1/2004,69274497
20,22120103,Tran ,Duc Anh,Nam,4/13/2004,62170101
21,22120104,Luong,Gia Bao,Nam,9/4/2004,89997026
22,22120105,Nguyen ,Hoang Bao,Nam,8/8/2004,58095554
23,22120106,Phan ,Duc Hai,Nam,9/1/2004,94587657
24,22140011,Nguyen,Trung Dung,Nam,2/22/2004,11221122
25,22140012,Bui,Thanh Duc,Nam,7/27/2004,33441111
26,22140013,Doan,Ngoc Hao,Nam,5/26/2004,99998888
27,22140031,Ngo,Ngoc Hung,Nam,12/24/2004,2353104
28,22140032,Luu ,Hoang Bao,Nam,10/29/2004,9968211
29,22140033,Hoang,Duc Hai,Nam,5/17/2004,7110959
30,22140034,Phan ,Dieu Huyen,Nu,7/6/2004,80003465
31,22140035,Do,Van Cuong,Nam,2/1/2004,68476360
32,22140036,Nguyen ,Ngoc Cuong,Nam,12/6/2004,86108371
33,22140037,Tran,Van Duy,Nam,9/30/2004,82153568
34,22140038,Hoang,Thanh Binh,Nam,10/22/2004,89064904
35,22140039,Truong,Van Binh,Nam,12/11/2004,38613113
36,22140040,Nguyen ,Ngoc Binh,Nam,6/9/2004,29083851
37,22140041,Pham,Van Dat,Nam,1/5/2004,59006204
38,22140042,Hoang,Phan Thanh Dat,Nam,4/23/2004,75789920
39,22140043,Tran ,Thanh Dat,Nam,4/23/2004,81906520
40,22140044,Luong,Van Son,Nam,9/5/2004,19219061
41,22140045,Nguyen ,Gia Bao,Nam,12/30/2004,79319923
42,22140046,Phan ,Van Khai,Nam,6/26/2004,23600163
43,22140047,Tran ,Duc Toan,Nam,10/27/2004,95538010
