STT,ID,Ho,Ten,Gioi tinh,Ngay sinh,CCCD
1,22140067,Nguyen,Thi Uyen Nhi,Nu,8/25/2004,30146664
2,22140068,Truong ,Duc Manh,Nam,5/28/2004,17113930
3,22140069,Nguyen,Hoai An,Nam,10/30/2004,37763545
4,22140070,Phan ,Tu Tai,Nam,5/12/2004,97970702
5,22140071,Do ,Nhat Long,Nam,5/22/2004,59716002
6,22140072,Tran,Van Long,Nam,12/18/2004,79261739
7,22140073,Nguyen ,Thi Thuy Duong,Nu,9/21/2004,71543331
8,22140074,Le,Hoai Nam,Nam,11/8/2004,22343175
9,22140075,Hoang,Van Khai,Nam,8/31/2004,88605840
10,22140076,Le ,Gia Ngan,Nu,12/5/2004,12432746
11,22140077,Nguyen,Hai Son,Nam,5/7/2004,10228488
12,22140078,Tran,Ba Dat,Nam,4/30/2004,28859842
13,22140079,Ho ,Nhat Long,Nam,1/17/2004,75650696
14,22140080,Cao ,Truong Son,Nam,1/20/2004,58372993
15,22140081,Do,Van An,Nam,12/26/2004,84455743
16,22140082,Bui ,Gia Bao,Nam,7/26/2004,94057028
17,22140083,Do,Thi Ngoc,Nu,9/8/2004,65990121
18,22140084,Vo,Van Nam,Nam,11/8/2004,36542561
19,22140085,Bui ,Van Tuan,Nam,6/6/2004,53193635
20,22140086,Nguyen,Nhat Duy,Nam,1/22/2004,25049964
21,22140087,Tran ,Thi Hoai Nhu,Nu,9/25/2004,74405458
22,22140088,Bui,Bao Nguyen,Nam,12/21/2004,9905383
23,22140089,Doan,Duc Long,Nam,4/22/2004,15718141
24,22140090,Ngo,Gia Bao,Nam,10/13/2004,74555862
25,22140091,Luu ,Hai Dang,Nam,7/25/2004,58622625
26,22140092,Hoang,Nam Son,Nam,8/20/2004,57846948
27,22140093,Phan ,Nhat Kha,Nam,12/7/2004,13744924
28,22140094,Do,Truong Giang,Nam,11/13/2004,61600847
29,22140095,Nguyen ,Thi Ngoc,Nu,12/31/2004,33196129
30,22140096,Tran,Duc Phat,Nam,12/6/2004,24284569
31,22140097,Hoang,Cong Tu,Nam,2/24/2004,62830488
32,22140098,Truong,Van Cong,Nam,4/27/2004,84325200
33,22140099,Nguyen ,Anh Nhat,Nam,4/24/2004,26640258
34,22140100,Pham,Tran Ba Duy,Nam,7/16/2004,7964399
35,22140101,Hoang,Trong Tai,Nam,10/9/2004,80084392
36,22140102,Tran ,Thi Mai,Nu,9/14/2004,81440095
37,22140103,Luong,Duc Anh,Nam,2/10/2004,39093544
38,22140104,Nguyen ,Hoang Ha,Nam,6/11/2004,972721
39,22140105,Phan ,Van Son,Nam,7/6/2004,13171834
40,22140106,Tran ,Duc Duy,Nam,4/27/2004,71955632
41,22140107,Do ,Hai An,Nam,3/6/2004,73729446
42,22140108,Nguyen,Manh Dat,Nam,7/26/2004,7257599
