STT,ID,Ho,Ten,Gioi tinh,Ngay sinh,CCCD
1,22120084,Pham,Hoang Giang,Nam,12/12/2004,11223344
2,22120085,Vu,The Tuan Dat,Nam,5/9/2004,22334455
3,22120086,Nguyen,Cong Giap,Nam,11/12/2004,33445566
4,22120087,Nguyen,Tran Gia,Nam,10/12/2004,44556677
5,22120088,Ngo,Phuong Dong,Nam,4/9/2004,13245768
6,22120089,Nguyen,Minh Duy,Nam,10/10/2004,90091133
7,22120090,Do,Duc Anh,Nam,1/29/2004,15992391
8,22120091,Bui ,Ngoc  Bich,Nu,10/17/2004,74357786
9,22120092,Luu ,Thi Linh Chi,Nu,9/18/2004,39596447
10,22120093,Hoang,Tuan Anh,Nam,11/9/2004,44744449
11,22140047,Tran ,Duc Toan,Nam,10/27/2004,95538010
12,22140048,Do ,Nhat Duy,Nam,3/9/2004,35322582
13,22140049,Nguyen,Thanh Dat,Nam,5/30/2004,73735012
14,22140050,Truong ,Van Long,Nam,4/10/2004,22363498
15,22140051,Nguyen,Thi Yen Nhi,Nu,9/25/2004,94310525
16,22140052,Phan ,Thi Bich Tram,Nu,2/29/2004,12447264
17,22140053,Tran,Thanh Thao,Nu,7/10/2004,54412655
18,22140054,Ho ,Xuan Son,Nam,9/19/2004,57525391
19,22140055,Cao ,Quang Tuan Anh,Nam,8/3/2004,3378762
20,22140056,Do,Dinh Duc Anh,Nam,4/25/2004,7906403
21,22140057,Bui ,Ngoc  Bich,Nu,6/13/2004,43272919
22,22140058,Do,Thi Linh Chi,Nu,2/13/2004,55345672
23,22140059,Vo,Tuan Anh,Nam,5/6/2004,188152
24,22140060,Bui ,Tuan Tai,Nam,8/25/2004,43710767
25,22140061,Nguyen,Thanh Dat,Nam,6/3/2004,11390801
26,22140062,Tran ,Thi Ha Linh,Nu,7/19/2004,2338839
27,22140063,Nguyen,Manh Dat,Nam,5/7/2004,24196177
28,22140064,Tran,Tuan Khang,Nam,4/18/2004,90207782
29,22140065,Le,Diem My,Nu,4/24/2004,48632293
30,22140066,Pham,Thi Anh Nhi,Nu,8/23/2004,57231679
