STT,ID,Ho,Ten,Gioi tinh,Ngay sinh,CCCD,Diem giua ky,Diem cuoi ky,Diem khac,Diem trung binh
1,22120084,Pham,Hoang Giang,Nam,12/12/2004,11223344,8,5,5,3.7
2,22120085,Vu,The Tuan Dat,Nam,9/5/2004,22334455,0,9,1,0.1
3,22120086,Nguyen,Cong Giap,Nam,12/11/2004,33445566,8,8,4,3.6
4,22120087,Nguyen,Tran Gia,Nam,12/10/2004,44556677,1,9,4,0.8
5,22120088,Ngo,Phuong Dong,Nam,9/4/2004,13245768,9,9,1,3.7
6,22120089,Nguyen,Minh Duy,Nam,10/10/2004,90091133,9,3,2,3.8
7,22120090,Do,Duc Anh,Nam,29/1/2004,15992391,2,2,2,1
8,22120091,Bui ,Ngoc  Bich,Nu,17/10/2004,74357786,8,8,9,4.1
9,22120092,Luu ,Thi Linh Chi,Nu,18/9/2004,39596447,4,5,1,1.7
10,22120093,Hoang,Tuan Anh,Nam,9/11/2004,44744449,4,5,9,2.5
11,22140047,Tran ,Duc Toan,Nam,27/10/2004,95538010,8,6,7,3.9
12,22140048,Do ,Nhat Duy,Nam,9/3/2004,35322582,0,2,8,0.8
13,22140049,Nguyen,Thanh Dat,Nam,30/5/2004,73735012,6,0,7,3.1
14,22140050,Truong ,Van Long,Nam,10/4/2004,22363498,5,1,8,2.8
15,22140051,Nguyen,Thi Yen Nhi,Nu,25/9/2004,94310525,1,6,6,1
16,22140052,Phan ,Thi Bich Tram,Nu,29/2/2004,12447264,9,1,9,4.5
17,22140053,Tran,Thanh Thao,Nu,10/7/2004,54412655,6,0,6,3
18,22140054,Ho ,Xuan Son,Nam,19/9/2004,57525391,7,4,1,2.9
19,22140055,Cao ,Quang Tuan Anh,Nam,3/8/2004,3378762,8,7,8,4
20,22140056,Do,Dinh Duc Anh,Nam,25/4/2004,7906403,4,3,4,2
21,22140057,Bui ,Ngoc  Bich,Nu,13/6/2004,43272919,3,2,7,1.9
22,22140058,Do,Thi Linh Chi,Nu,13/2/2004,55345672,1,7,2,0.6
23,22140059,Vo,Tuan Anh,Nam,6/5/2004,188152,6,3,9,3.3
24,22140060,Bui ,Tuan Tai,Nam,25/8/2004,43710767,3,0,5,1.7
25,22140061,Nguyen,Thanh Dat,Nam,3/6/2004,11390801,3,0,6,1.8
26,22140062,Tran ,Thi Ha Linh,Nu,19/7/2004,2338839,5,0,6,2.6
27,22140063,Nguyen,Manh Dat,Nam,7/5/2004,24196177,0,7,9,0.9
28,22140064,Tran,Tuan Khang,Nam,18/4/2004,90207782,9,3,4,4
29,22140065,Le,Diem My,Nu,24/4/2004,48632293,0,5,3,0.3
30,22140066,Pham,Thi Anh Nhi,Nu,23/8/2004,57231679,0,8,0,0
